data,confirmados,recuperados,obitos
03/20/2020,0,0,0
03/21/2020,0,0,0
03/22/2020,0,0,0
03/23/2020,0,0,0
03/24/2020,0,0,0
03/25/2020,0,0,0
03/26/2020,0,0,0
03/27/2020,0,0,0
03/28/2020,2,0,0
03/29/2020,2,0,0
03/30/2020,2,0,0
03/31/2020,2,0,0
04/01/2020,2,0,0
04/02/2020,2,0,0
04/03/2020,2,0,0
04/04/2020,2,0,0
04/05/2020,4,0,0
04/06/2020,4,0,0
04/07/2020,4,0,0
04/08/2020,6,0,0
04/09/2020,6,0,0
04/10/2020,6,0,0
04/11/2020,7,0,0
04/12/2020,7,0,0
04/13/2020,9,0,0
04/14/2020,9,0,0
04/15/2020,10,0,0
04/16/2020,11,0,0
04/17/2020,13,11,0
04/18/2020,15,13,0
04/19/2020,18,15,0
04/20/2020,18,15,0
04/21/2020,18,15,0
04/22/2020,19,16,0
04/23/2020,19,16,0
04/24/2020,22,19,0
04/25/2020,22,20,0
04/26/2020,22,20,0
04/27/2020,22,20,0
04/28/2020,36,20,0
04/29/2020,42,20,1
04/30/2020,47,29,1
05/01/2020,50,29,1
05/02/2020,52,36,1
05/03/2020,54,38,1
05/04/2020,65,42,1
05/05/2020,65,42,1
05/06/2020,77,42,1
05/07/2020,88,51,1
05/08/2020,99,51,1
05/09/2020,109,62,1
05/10/2020,111,62,1
05/11/2020,112,62,2
05/12/2020,121,76,3
05/13/2020,128,76,3
05/14/2020,157,76,3
05/15/2020,185,88,6
05/16/2020,185,88,8
05/17/2020,185,88,8
05/18/2020,289,109,9
05/19/2020,329,147,9
05/20/2020,364,162,10
05/21/2020,364,162,10
05/22/2020,481,231,13
05/23/2020,533,262,15
05/24/2020,562,262,18
05/25/2020,562,262,18
05/26/2020,663,338,20
05/27/2020,703,394,22
05/28/2020,785,467,23
05/29/2020,840,476,23
05/30/2020,897,499,23
05/31/2020,897,499,23
06/01/2020,972,548,24
06/02/2020,1034,614,26
06/03/2020,1091,648,29
06/04/2020,1147,692,30
06/05/2020,1204,775,32
06/06/2020,1259,794,34
06/07/2020,1289,831,34
06/08/2020,1310,848,36
06/09/2020,1353,850,36
06/10/2020,1403,867,36
06/11/2020,1449,896,37
06/12/2020,1501,925,37
06/13/2020,1562,1004,40
06/14/2020,1582,1056,41
06/15/2020,1603,1097,42
06/16/2020,1652,1128,42
06/17/2020,1709,1175,45
06/18/2020,1767,1197,45
06/19/2020,1802,1234,45
06/20/2020,1850,1258,45
06/21/2020,1885,1299,45
06/22/2020,1909,1314,46
06/23/2020,1967,1383,46
06/24/2020,2014,1438,47
06/25/2020,2068,1517,47
06/26/2020,2118,1598,48
06/27/2020,2149,1657,48
06/28/2020,2160,1688,49
06/29/2020,2189,1754,50
06/30/2020,2225,1781,50
06/30/2020,2248,1853,50
06/30/2020,2292,1926,51